Factor,Items,Estimator,CFI,TLI,RMSEA,SRMR,Item_Count
F1,"v1,v4,v5,v9,v13,v55",MLR,0.972466088,0.954110147,0.052496571,0.037321988,6
F1,"v1,v5,v10,v13,v55",WLSMV,0.982261928,0.964523855,0.058872478,0.045185546,5
F1,"v1,v3,v4,v5,v9,v55",MLR,0.972429837,0.954049728,0.068927305,0.032370573,6
F1,"v1,v9,v10,v13,v55",WLSMV,0.98891623,0.977832459,0.050983962,0.041566922,5
F1,"v2,v3,v4,v5,v11",WLSMV,0.997490351,0.994980703,0.060505233,0.034993595,5
F1,"v2,v3,v4,v5,v13",WLSMV,0.997414959,0.994829917,0.062103201,0.035808759,5
F1,"v3,v5,v9,v13,v55",MLR,0.972071713,0.944143426,0.055202447,0.033680926,5
F1,"v2,v3,v4,v9,v13",WLSMV,0.993170418,0.986340837,0.078781989,0.054264717,5
F1,"v1,v3,v5,v9,v13",MLR,0.971682707,0.943365413,0.064644519,0.037716724,5
F1,"v2,v3,v4,v9,v55",WLSMV,0.993368714,0.986737427,0.079247352,0.050324695,5
F1,"v2,v3,v4,v10,v55",WLSMV,0.993961112,0.987922224,0.078922257,0.047926585,5
F1,"v2,v3,v4,v11,v55",MLR,0.988672221,0.977344442,0.04561969,0.029959043,5
F1,"v2,v3,v4,v11,v55",WLSMV,0.998130348,0.996260695,0.041396151,0.034527289,5
F1,"v2,v3,v4,v13,v55",MLR,0.989461827,0.978923654,0.045306687,0.029474619,5
F1,"v2,v3,v4,v13,v55",WLSMV,0.998203769,0.996407538,0.041245644,0.034242607,5
F1,"v1,v3,v4,v10,v11,v55",MLR,0.970347409,0.950579015,0.060266137,0.041840427,6
F1,"v2,v3,v5,v9,v13",WLSMV,0.993134688,0.986269376,0.053644536,0.043991388,5
F1,"v2,v3,v5,v9,v55",MLR,0.992375712,0.984751425,0.034657109,0.023621251,5
F1,"v2,v3,v5,v9,v55",WLSMV,0.999994733,0.999989467,0.001551376,0.027226249,5
F1,"v2,v3,v5,v10,v11",WLSMV,0.988154165,0.97630833,0.074293745,0.050642053,5
F1,"v2,v3,v5,v10,v55",MLR,0.993446021,0.986892043,0.034456641,0.021463628,5
F1,"v1,v3,v4,v10,v11",MLR,0.970237434,0.940474868,0.077493754,0.043657615,5
