Factor,Items,Estimator,CFI,TLI,RMSEA,SRMR,Item_Count,Source
F5,"v33,v37,v39,v41,v42,v43",WLSMV,0.997185337,0.995308895,0.073127666,0.043320861,6,data_2
F5,"v33,v37,v39,v41,v42,v44",MLR,0.973894239,0.956490398,0.071519525,0.035059792,6,data_1
F5,"v33,v37,v39,v41,v42,v44",WLSMV,0.995695562,0.992825937,0.063202429,0.040324432,6,data_1
F5,"v33,v37,v39,v41,v42,v44",WLSMV,0.997881905,0.996469842,0.070502886,0.0398309,6,data_2
F5,"v33,v37,v39,v41,v43",WLSMV,0.997479784,0.994959568,0.06947856,0.040685302,5,data_2
F5,"v33,v37,v39,v41,v44",MLR,0.99714696,0.99429392,0.028027607,0.018210138,5,data_1
F5,"v33,v37,v39,v41,v44",MLR,0.993321599,0.986643198,0.050991842,0.022828324,5,data_2
F5,"v33,v37,v39,v41,v44",WLSMV,0.999763147,0.999526295,0.02364969,0.022998901,5,data_2
F5,"v33,v37,v39,v42",MLR,0.987692736,0.963078207,0.075331374,0.02336861,4,data_1
F5,"v33,v37,v39,v42",WLSMV,0.998288795,0.994866386,0.052791795,0.025487474,4,data_1
F5,"v33,v37,v39,v42,v44",MLR,0.989250658,0.978501316,0.053876554,0.025334578,5,data_1
F5,"v33,v37,v39,v42,v44",WLSMV,0.99850427,0.997008539,0.040907481,0.029595851,5,data_1
F5,"v33,v37,v39,v44",MLR,0.997665517,0.992996552,0.03857112,0.015654569,4,data_2
F5,"v33,v37,v40,v41",WLSMV,0.99863474,0.99590422,0.077357996,0.024564964,4,data_2
F5,"v33,v37,v40,v41,v42",WLSMV,0.998496148,0.996992297,0.068861838,0.031017642,5,data_2
F5,"v33,v37,v40,v41,v42,v43",WLSMV,0.998732391,0.997887318,0.051343053,0.03376733,6,data_2
F5,"v33,v37,v40,v41,v42,v44",WLSMV,0.994458385,0.990763974,0.075138049,0.044702322,6,data_1
F5,"v33,v37,v40,v41,v42,v44",WLSMV,0.998098698,0.996831164,0.069192602,0.036191439,6,data_2
F5,"v33,v37,v40,v41,v43",WLSMV,0.99817741,0.99635482,0.062757985,0.034385897,5,data_2
F5,"v33,v37,v40,v41,v44",MLR,0.986513013,0.973026026,0.073978746,0.024470337,5,data_2
F5,"v33,v37,v40,v41,v44",WLSMV,0.995988345,0.991976689,0.073586571,0.037408824,5,data_1
F5,"v33,v37,v40,v41,v44",WLSMV,0.998873853,0.997747705,0.05402691,0.027422062,5,data_2
F5,"v33,v37,v40,v42",WLSMV,0.997515653,0.992546958,0.064171303,0.029110409,4,data_1
F5,"v33,v37,v40,v42",WLSMV,0.999780352,0.999341056,0.029407285,0.020793075,4,data_2
F5,"v33,v37,v40,v42,v43",MLR,0.984716217,0.969432434,0.073080032,0.02884309,5,data_2
F5,"v33,v37,v40,v42,v43",WLSMV,0.999504782,0.999009565,0.03157814,0.030255123,5,data_2
F5,"v33,v37,v40,v42,v44",MLR,0.988560768,0.977121537,0.056773979,0.024745417,5,data_1
F5,"v33,v37,v40,v42,v44",WLSMV,0.998584901,0.997169801,0.040207037,0.029553295,5,data_1
F5,"v33,v37,v40,v42,v44",WLSMV,0.997869456,0.995738912,0.075342612,0.036236191,5,data_2
F5,"v33,v37,v40,v43",MLR,0.988080301,0.964240903,0.079977353,0.024516947,4,data_2
F5,"v33,v37,v40,v43",WLSMV,0.999299589,0.997898768,0.04131473,0.027060364,4,data_2
F5,"v33,v37,v40,v44",MLR,0.997260837,0.99178251,0.038705974,0.014573381,4,data_1
F5,"v33,v37,v41,v42,v43",WLSMV,0.998660924,0.997321848,0.059583079,0.033778515,5,data_2
F5,"v33,v37,v41,v42,v43,v44",WLSMV,0.997319364,0.995532274,0.079623154,0.043329374,6,data_2
F5,"v33,v37,v41,v42,v44",MLR,0.981730443,0.963460885,0.070888351,0.028986337,5,data_1
F5,"v33,v37,v41,v42,v44",WLSMV,0.996789635,0.993579271,0.061558134,0.034694338,5,data_1
F5,"v33,v37,v41,v42,v44",WLSMV,0.998736992,0.997473984,0.06522013,0.033200875,5,data_2
F5,"v33,v37,v41,v43",WLSMV,0.998473377,0.995420131,0.069862834,0.034248662,4,data_2
F5,"v33,v37,v41,v44",MLR,0.998483672,0.995451017,0.027343608,0.013825406,4,data_1
F5,"v33,v37,v41,v44",MLR,0.998865269,0.996595808,0.029022103,0.013008609,4,data_2
