sex,age,department,grade,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60
0,21,音樂系,四年級,3,2,2,2,2,2,3,3,4,3,3,2,3,2,3,4,4,4,3,2,2,2,2,3,3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,2,2,3,3,4,4,4,4
0,22,電影系,延畢,4,4,4,4,4,4,3,2,2,2,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,4,4,4,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,23,書畫藝術學系,研究生,2,2,4,2,3,3,3,3,1,3,2,1,4,2,4,2,2,2,4,3,2,1,2,3,3,2,2,4,4,4,4,4,4,4,4,4,4,1,4,1,3,4,3,4,3,3,3,1,2,3,3,1,3,3,5,3,5,5,5,3
0,25,音樂學系,延畢,4,4,3,3,3,3,2,3,3,2,4,4,2,2,3,4,4,4,3,3,3,3,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,3,4,3,3,3,3,4,4,4,5,5,3,4
0,31,工藝設計,二年制在職專班延畢,3,3,4,3,4,3,4,3,2,4,3,2,2,2,2,3,4,3,4,3,2,4,2,3,4,3,3,4,3,3,2,2,2,3,3,3,4,4,3,4,4,4,2,3,5,5,4,5,5,5,4,3,5,5,4,5,5,5,4,4
0,24,書畫系,延畢,3,3,3,3,3,3,2,2,3,3,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4
1,22,戲劇學系,延畢,4,4,3,3,3,4,2,1,1,3,2,2,1,3,1,4,4,3,4,4,3,4,3,4,4,4,4,4,4,3,2,2,2,3,4,3,3,3,3,3,3,3,3,3,4,5,4,4,4,4,4,4,4,5,4,5,4,4,3,4
0,21,中國音樂學系,三年級,3,3,3,3,3,3,1,1,3,2,1,1,1,2,2,3,4,4,4,4,4,3,2,4,4,4,3,3,3,3,2,3,3,4,4,3,4,3,4,3,4,4,3,4,4,3,3,4,5,4,4,4,5,3,5,4,5,5,5,5
0,22,視覺傳達設計學系,二年制在職專班延畢,4,4,4,4,4,4,1,2,1,1,1,2,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,21,國月系,三年級,4,4,3,3,4,3,4,4,3,4,2,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,1,3,3,3,4,4,3,2,4,3,2,3,4,4,5,5,5,4,4,3,5,4,3,3,4,3,5,5,5,5
0,19,舞蹈系,二年級,3,3,3,2,3,3,2,3,3,2,2,3,2,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,4,3,3,4,4,4,4,4,4,2,3,3,5,5,5,5
0,22,進學士書畫系,三年級,3,3,3,3,3,3,2,2,1,1,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
0,20,書畫藝術學系,二年級,4,3,3,3,3,4,2,3,2,2,1,1,2,2,3,3,3,3,4,4,4,4,3,4,4,3,3,3,3,3,2,3,3,3,4,4,4,3,3,3,3,4,3,3,4,3,3,3,4,4,4,5,5,4,5,4,5,4,4,4
0,45,美術系,二年制在職專班二年級,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4
0,22,舞蹈系,四年級,3,4,3,3,3,3,2,1,1,2,1,1,3,2,3,4,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,3,3,4,4,4,5,4,4,4,4,3,4,4,5,5,5,4,4
0,29,書畫系造形所,研究生,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,5,5,5,5,5,4,5,4,4,5,4,4,4,4
0,55,工藝,二年制在職專班畢業,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,1,4,4,4,4,4,4,3,3,4,4,4,3,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5
1,43,工藝設計系,二年制在職專班二年級,4,4,4,4,4,4,2,1,1,2,2,1,4,2,2,4,4,4,4,4,4,4,3,4,4,2,2,4,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,5,5,5,4,4,4,3,4,4,4,4,4,4,4,4,5
0,21,戲劇系,二年級,4,4,4,4,4,4,1,2,1,2,1,1,2,2,2,3,4,4,2,2,3,2,2,2,2,4,4,4,4,3,2,4,2,4,3,4,4,4,4,3,3,3,3,3,5,5,5,5,5,5,5,3,4,5,4,4,5,4,4,5
1,41,戲劇所,研究生,4,4,3,3,3,4,1,1,1,1,1,1,1,2,3,4,4,4,3,3,4,3,4,3,3,4,4,3,4,4,1,4,4,4,4,4,4,3,2,3,3,4,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5
0,21,音樂,四年級,3,3,3,2,3,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,5,4,5,5,5,5,4,3,4,2,4,2,5,5,5,5
0,21,書畫藝術學系,四年級,4,3,3,2,2,3,1,4,2,4,4,1,1,1,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,5,5,5,1,3,5,1,5,5,4,5
0,27,戲劇系表演藝術在職碩士學,表演藝術在職碩士學位班,3,3,3,3,3,3,2,4,4,4,2,3,2,3,3,4,4,4,4,4,4,2,3,3,3,2,3,3,3,2,4,2,2,2,3,3,3,2,3,2,3,3,3,3,4,4,4,4,4,4,4,4,5,5,3,4,4,4,5,4
1,30,音研所,二年制在職專班延畢,4,4,4,4,4,4,1,2,1,1,2,2,2,2,2,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,28,中國音樂所,研究生,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,41,音樂系,三年級,4,4,4,3,4,4,4,3,4,4,3,2,2,2,2,4,4,4,4,4,4,3,3,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,3,4,5,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5
0,52,工藝設計系,二年制在職專班延畢,4,3,4,4,4,4,3,4,4,2,3,1,2,1,2,4,4,4,4,4,4,3,3,4,4,4,3,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,5,5,4,4,4,4,4,3,5,5,4,5,5,5,4,5
0,19,國樂系,二年級,3,3,2,3,3,3,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,2,4,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
1,23,廣電,研究生,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5
0,30,舞蹈系,研究生,3,3,3,3,3,3,2,3,3,2,2,1,3,2,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,5,4,5,4,4,3,4,4
0,28,視覺傳達設計系,畢業生,4,4,3,3,3,3,1,1,2,2,3,3,2,3,3,3,3,4,3,3,3,2,3,4,3,3,3,4,4,4,1,4,3,4,4,4,4,4,3,4,4,4,4,4,5,5,5,4,5,5,5,5,3,4,4,4,5,5,5,5
0,20,美術系,三年級,3,3,3,3,3,3,4,4,4,4,2,2,4,2,4,2,2,2,2,2,1,1,1,4,4,2,1,1,2,1,4,1,1,1,1,1,3,3,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4
0,27,書畫藝術學系,研究所畢業,4,4,3,3,3,3,2,2,2,2,2,3,2,2,3,4,4,4,4,4,3,2,4,3,4,4,4,4,4,3,2,3,2,3,3,3,4,3,4,3,3,4,4,3,5,5,4,4,5,4,5,4,5,4,5,4,5,5,5,5
0,45,造形所,研究生,3,4,2,2,2,2,3,3,2,2,2,2,3,3,3,4,4,4,3,2,3,2,3,3,2,3,2,3,3,3,1,3,2,3,3,3,1,2,3,3,3,3,3,3,4,4,3,3,5,4,4,3,2,2,3,2,5,4,4,5
0,39,視覺傳達,研究生,4,4,3,4,4,4,1,3,2,1,1,1,1,2,2,4,4,4,4,4,3,4,4,4,4,3,3,4,4,3,2,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,5,4,5,4,4,4,4,5,5,5,5,5,5,5
0,31,表演藝術教學,研究生,3,4,3,3,3,3,2,2,2,2,2,2,3,2,3,3,3,3,4,4,3,4,3,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
0,27,舞蹈系,二年制在職專班延畢,3,3,4,3,3,4,4,3,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,3,3,4,4,5,4,5,4,5,5,5,5
0,21,國立臺灣戲曲學院校際生,三年級,3,3,2,3,3,3,1,2,3,2,1,1,4,4,4,4,4,4,3,4,4,3,3,3,4,4,3,4,4,4,1,4,4,4,4,4,4,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5
0,20,戲劇系日間部,二年級,2,1,2,3,3,2,3,3,2,2,4,3,2,3,4,4,3,3,2,3,2,1,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,2,2,3,3,3,3,4,4,3,4,4,4,4,3,4,2,2,3,5,4,3,3
0,23,國樂系,研究生,4,4,2,2,2,2,2,2,4,3,3,3,3,1,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,5,5,5,5
0,35,廣電,今年應屆實習,4,4,4,4,4,4,1,2,2,2,2,1,1,1,1,3,3,4,4,4,3,4,3,4,4,4,4,3,3,3,2,3,3,3,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
1,22,戲劇系,延畢,3,3,3,3,2,3,3,3,2,2,1,1,3,3,3,4,3,3,3,4,3,1,3,3,3,3,3,3,3,3,2,3,3,2,3,3,4,3,2,3,3,4,3,3,3,4,4,4,4,3,3,2,3,2,3,3,5,4,4,4
0,20,中國音樂學系,二年級,4,4,4,3,3,4,2,3,3,3,3,3,3,3,3,4,4,3,3,3,2,2,2,3,3,2,2,3,2,2,3,4,3,4,4,4,4,4,4,4,4,4,3,4,5,5,5,4,5,5,5,4,3,4,3,5,5,5,5,4
0,19,古蹟,二年級,3,3,3,3,3,2,3,3,2,2,1,2,3,2,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,4,4,4,4,4,4,3,4,4,5,5,4,4
0,20,中國音樂學系,二年級,4,4,3,3,3,3,2,2,2,2,1,2,3,2,2,4,4,4,4,4,3,2,3,4,4,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
0,51,美術系,二年制在職專班二年級,4,4,4,4,4,3,3,3,3,3,1,1,4,3,1,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,5,5,5,5,5,5,4,3,4,4,5,5,5,5,5
0,20,國樂系,二年級,4,4,4,3,4,4,2,3,3,2,2,2,3,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
